Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Longitude,Location
1900 Gunbarrel Rd,Chattanooga,TN,37421,02/22/2018 12:01:00 AM,TN0330100,C7,90Z,All Other Offenses,Part 2 Crimes,18-015856,3,Pending/Possible Leads,35.028306797000063,-85.15631636,"(35.028306797, -85.15631636)"
1900 Gunbarrel Rd,Chattanooga,TN,37421,02/22/2018 12:01:00 AM,TN0330100,C7,210,Extortion/Blackmail,Part 1 Crimes,18-015856,3,Pending/Possible Leads,35.028306797000063,-85.15631636,"(35.028306797, -85.15631636)"
1400 Williams St,Chattanooga,TN,37408,02/22/2018 12:10:00 AM,TN0330100,A9,91Z,,,18-015857,3,Pending/Possible Leads,35.037561577000055,-85.308899168999943,"(35.037561577, -85.308899169)"
500 O Neal St,Chattanooga,TN,37403,02/22/2018 01:00:00 AM,TN0330100,A8,23F,Theft From Motor Vehicle,Part 1 Crimes,18-015921,3,Pending/Possible Leads,35.043360693000068,-85.288015450999936,"(35.043360693, -85.288015451)"
500 O Neal St,Chattanooga,TN,37403,02/22/2018 01:00:00 AM,TN0330100,A8,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,18-015921,3,Pending/Possible Leads,35.043360693000068,-85.288015450999936,"(35.043360693, -85.288015451)"
2000 Hamilton Place Blvd,Chattanooga,TN,37421,02/22/2018 01:49:00 AM,TN0330100,C7,91Z,,,18-015874,3,Pending/Possible Leads,35.032104317,-85.164844680999977,"(35.032104317, -85.164844681)"
1300 E 3rd St,Chattanooga,TN,37404,02/22/2018 01:49:00 AM,TN0330100,B4,23C,Shoplifting,Part 1 Crimes,18-015871,3,Pending/Possible Leads,35.043050407,-85.280521767999986,"(35.043050407, -85.280521768)"
4200 Tennessee Ave,Chattanooga,TN,37409,02/22/2018 02:19:00 AM,TN0330100,A12,90D,Driving Under The Influence,Part 2 Crimes,18-015870,2,Cleared by Arrest,35.003185794,-85.326906221999977,"(35.003185794, -85.326906222)"
4200 Tennessee Ave,Chattanooga,TN,37409,02/22/2018 02:19:00 AM,TN0330100,A12,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,18-015870,2,Cleared by Arrest,35.003185794,-85.326906221999977,"(35.003185794, -85.326906222)"
100 Jordan Dr,Chattanooga,TN,37421,02/22/2018 02:51:00 AM,TN0330100,C9,13B,Simple Assault,Part 1 Crimes,18-015876,3,Pending/Possible Leads,35.045667662000064,-85.164405157999937,"(35.045667662, -85.164405158)"
2800 4th Ave,Chattanooga,TN,37407,02/22/2018 02:55:00 AM,TN0330100,B8,91Z,,,18-015878,3,Pending/Possible Leads,35.011909455,-85.283573652999976,"(35.011909455, -85.283573653)"
3600 Brainerd Rd,Chattanooga,TN,37411,02/22/2018 03:50:00 AM,TN0330100,C2,220,Burglary/Breaking And Entering,Part 1 Crimes,18-015892,2,Cleared by Arrest,35.022967076000072,-85.244939045999985,"(35.022967076, -85.244939046)"
2700 12th Ave,Chattanooga,TN,37407,02/22/2018 03:55:00 AM,TN0330100,B8,91Z,,,18-015883,3,Pending/Possible Leads,35.008733201000055,-85.27587902199997,"(35.008733201, -85.275879022)"
3500 Cummings Hwy,Chattanooga,TN,37419,02/22/2018 04:05:00 AM,TN0330100,A13,91Z,,,18-015885,2,Cleared by Arrest,35.018347555000055,-85.376766338999985,"(35.018347555, -85.376766339)"
1800 Parkway Dr,Chattanooga,TN,37406,02/22/2018 07:00:00 AM,TN0330100,C1,220,Burglary/Breaking And Entering,Part 1 Crimes,18-015978,3,Pending/Possible Leads,35.050128713000063,-85.235405247999992,"(35.050128713, -85.235405248)"
2100 Ivy St,Chattanooga,TN,37404,02/22/2018 07:15:00 AM,TN0330100,B4,91Z,,,18-015898,3,Pending/Possible Leads,35.037464512,-85.270589164999933,"(35.037464512, -85.270589165)"
700 E 11th St,Chattanooga,TN,37403,02/22/2018 07:20:00 AM,TN0330100,A9,91Z,,,18-015896,3,Pending/Possible Leads,35.040509851000053,-85.300814597999988,"(35.040509851, -85.300814598)"
5300 Brainerd Rd,Chattanooga,TN,37411,02/22/2018 07:40:00 AM,TN0330100,C3,91Z,,,18-015903,3,Pending/Possible Leads,35.011325851,-85.223270470999935,"(35.011325851, -85.223270471)"
3000 Dee Dr,Chattanooga,TN,37406,02/22/2018 08:15:00 AM,TN0330100,C1,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,18-015906,3,Pending/Possible Leads,35.057493138,-85.243030622999953,"(35.057493138, -85.243030623)"
1600 E 23rd St,Chattanooga,TN,37404,02/22/2018 08:30:00 AM,TN0330100,B6,23G,Theft Of Motor Vehicle Parts Or Accessories,Part 1 Crimes,18-015966,3,Pending/Possible Leads,35.0207851,-85.289150445999979,"(35.0207851, -85.289150446)"
5100 Hwy 153,Chattanooga,TN,37343,02/22/2018 08:45:00 AM,TN0330100,A2,91Z,,,18-015922,3,Pending/Possible Leads,35.121526909,-85.2379783,"(35.121526909, -85.2379783)"
300 High St,Chattanooga,TN,37419,02/22/2018 09:05:00 AM,TN0330100,A13,91Z,,,18-015949,3,Pending/Possible Leads,35.05212146,-85.306025160999994,"(35.05212146, -85.306025161)"
6300 Lee Hwy,Chattanooga,TN,37421,02/22/2018 09:08:00 AM,TN0330100,C7,91Z,,,18-015915,3,Pending/Possible Leads,35.031696258000075,-85.182873126999979,"(35.031696258, -85.182873127)"
4800 Brainerd Rd,Chattanooga,TN,37411,02/22/2018 09:50:00 AM,TN0330100,C2,91Z,,,18-015928,3,Pending/Possible Leads,35.01443761500007,-85.228566898999944,"(35.014437615, -85.228566899)"
100 Talley Rd,Chattanooga,TN,37411,02/22/2018 09:50:00 AM,TN0330100,C2,91Z,,,18-015924,3,Pending/Possible Leads,35.02024028400006,-85.239613650999971,"(35.020240284, -85.239613651)"
5900 Dayton Blvd,Chattanooga,TN,37415,02/22/2018 09:54:00 AM,TN0330100,A1,23G,Theft Of Motor Vehicle Parts Or Accessories,Part 1 Crimes,18-015926,3,Pending/Possible Leads,35.164874592000075,-85.260607394999951,"(35.164874592, -85.260607395)"
1700 Urban Trl,Chattanooga,TN,37405,02/22/2018 09:55:00 AM,TN0330100,A5,91Z,,,18-015925,3,Pending/Possible Leads,35.082484940000064,-85.319875612999951,"(35.08248494, -85.319875613)"
2200 Wilcox Blvd,Chattanooga,TN,37406,02/22/2018 10:10:00 AM,TN0330100,B2,91Z,,,18-015931,3,Pending/Possible Leads,35.05249258200007,-85.259993111999961,"(35.052492582, -85.259993112)"
4700 Tarpon Trl,Chattanooga,TN,37416,02/22/2018 10:15:00 AM,TN0330100,C5,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,18-015923,3,Pending/Possible Leads,35.091185552,-85.195341422999959,"(35.091185552, -85.195341423)"
3200 Dyer St,Chattanooga,TN,37411,02/22/2018 10:30:00 AM,TN0330100,C1,91Z,,,18-015935,3,Pending/Possible Leads,35.044661802000071,-85.243048085999988,"(35.044661802, -85.243048086)"
2000 Market St,Chattanooga,TN,37408,02/22/2018 10:40:00 AM,TN0330100,A10,91Z,,,18-015937,3,Pending/Possible Leads,35.030456349000069,-85.309658535999944,"(35.030456349, -85.309658536)"
2000 Gunbarrel Rd,Chattanooga,TN,37421,02/22/2018 10:49:00 AM,TN0330100,C7,220,Burglary/Breaking And Entering,Part 1 Crimes,18-015940,3,Pending/Possible Leads,35.032032099,-85.154552544999973,"(35.032032099, -85.154552545)"
1200 Cypress Street Ct,Chattanooga,TN,37402,02/22/2018 10:55:00 AM,TN0330100,A6,91Z,,,18-015959,2,Cleared by Arrest,35.042783683000053,-85.317803706999982,"(35.042783683, -85.317803707)"
1200 Cypress Street Ct,Chattanooga,TN,37402,02/22/2018 10:55:00 AM,TN0330100,A6,91Z,,,18-015945,2,Cleared by Arrest,35.042411683,-85.317675706999992,"(35.042411683, -85.317675707)"
2800 5th Ave,Chattanooga,TN,37407,02/22/2018 10:57:00 AM,TN0330100,B8,91Z,,,18-015947,3,Pending/Possible Leads,35.010091835,-85.281544055999959,"(35.010091835, -85.281544056)"
2000 Gunbarrel Rd,Chattanooga,TN,37421,02/22/2018 11:06:00 AM,TN0330100,C7,90C,Disorderly Conduct,Part 2 Crimes,18-015944,2,Cleared by Arrest,35.030769100000072,-85.155955763999955,"(35.0307691, -85.155955764)"
2000 Gunbarrel Rd,Chattanooga,TN,37421,02/22/2018 11:06:00 AM,TN0330100,C7,13B,Simple Assault,Part 1 Crimes,18-015944,2,Cleared by Arrest,35.030769100000072,-85.155955763999955,"(35.0307691, -85.155955764)"
2000 Gunbarrel Rd,Chattanooga,TN,37421,02/22/2018 11:06:00 AM,TN0330100,C7,90E,Drunkenness,Part 2 Crimes,18-015944,2,Cleared by Arrest,35.030769100000072,-85.155955763999955,"(35.0307691, -85.155955764)"
2200 Center St,Chattanooga,TN,37421,02/22/2018 11:15:00 AM,TN0330100,C6,13B,Simple Assault,Part 1 Crimes,18-015950,3,Pending/Possible Leads,35.042709205,-85.161194826999974,"(35.042709205, -85.161194827)"
1800 Dixon St,Chattanooga,TN,37421,02/22/2018 11:16:00 AM,TN0330100,C4,91Z,,,18-015948,3,Pending/Possible Leads,35.040426629,-85.192910641999987,"(35.040426629, -85.192910642)"
700 E 11th St,Chattanooga,TN,37403,02/22/2018 11:40:00 AM,TN0330100,A9,91Z,,,18-015951,3,Pending/Possible Leads,35.040956851000054,-85.299284597999986,"(35.040956851, -85.299284598)"
1500 E Main St,Chattanooga,TN,37404,02/22/2018 11:45:00 AM,TN0330100,B6,91Z,,,18-015962,3,Pending/Possible Leads,35.027533147,-85.28482898499999,"(35.027533147, -85.284828985)"
7300 E Brainerd Rd,Chattanooga,TN,37421,02/22/2018 11:45:00 AM,TN0330100,C8,91Z,,,18-015967,3,Pending/Possible Leads,35.015220417000052,-85.165180225999976,"(35.015220417, -85.165180226)"
100 N Moore Rd,Chattanooga,TN,37411,02/22/2018 12:00:00 PM,TN0330100,C3,91Z,,,18-020672,3,Pending/Possible Leads,35.014326806000078,-85.226897416999961,"(35.014326806, -85.226897417)"
300 Interstate 75 Nb,Chattanooga,TN,37421,02/22/2018 12:08:00 PM,TN0330100,C4,91Z,,,18-015963,3,Pending/Possible Leads,35.011591059000068,-85.184390234999981,"(35.011591059, -85.184390235)"
700 Woodmore Ln,Chattanooga,TN,37411,02/22/2018 12:09:00 PM,TN0330100,C2,91Z,,,18-015965,3,Pending/Possible Leads,35.030352343,-85.228624752999934,"(35.030352343, -85.228624753)"
7300 Lee Hwy,Chattanooga,TN,37421,02/22/2018 12:30:00 PM,TN0330100,C9,23C,Shoplifting,Part 1 Crimes,18-015970,3,Pending/Possible Leads,35.052930885,-85.148654551999954,"(35.052930885, -85.148654552)"
700 E 11th St,Chattanooga,TN,37403,02/22/2018 12:30:00 PM,TN0330100,A9,91Z,,,18-015968,3,Pending/Possible Leads,35.040279851000051,-85.300922597999985,"(35.040279851, -85.300922598)"
4600 Plaza Hills Ln,Chattanooga,TN,37343,02/22/2018 12:55:00 PM,TN0330100,A3,91Z,,,18-015984,3,Pending/Possible Leads,35.12656006,-85.266762010999983,"(35.12656006, -85.266762011)"
3500 Clio Ave,Chattanooga,TN,37407,02/22/2018 01:00:00 PM,TN0330100,B7,91Z,,,18-015969,I,Closed,35.003655781,-85.291208337999961,"(35.003655781, -85.291208338)"
2400 4th Ave,Chattanooga,TN,37404,02/22/2018 01:00:00 PM,TN0330100,B8,91Z,,,18-015993,2,Cleared by Arrest,35.016219421000052,-85.281302701999934,"(35.016219421, -85.281302702)"
4300 Ohls Ave,Chattanooga,TN,37410,02/22/2018 01:00:00 PM,TN0330100,A12,91Z,,,18-015971,3,Pending/Possible Leads,35.00353349600006,-85.317917117999983,"(35.003533496, -85.317917118)"
2300 Wheeler Ave,Chattanooga,TN,37406,02/22/2018 01:00:00 PM,TN0330100,B2,91Z,,,18-015987,3,Pending/Possible Leads,35.062634849,-85.251700234999959,"(35.062634849, -85.251700235)"
100 Bledsoe Ter,Chattanooga,TN,37405,02/22/2018 01:10:00 PM,TN0330100,A5,91Z,,,18-015977,3,Pending/Possible Leads,35.100164358000079,-85.330749810999947,"(35.100164358, -85.330749811)"
4800 Brainerd Rd,Chattanooga,TN,37411,02/22/2018 01:30:00 PM,TN0330100,C2,91Z,,,18-015982,3,Pending/Possible Leads,35.013078434000079,-85.22861288,"(35.013078434, -85.22861288)"
2300 Shallowford Village Dr,Chattanooga,TN,37421,02/22/2018 01:32:00 PM,TN0330100,C9,91Z,,,18-015985,3,Pending/Possible Leads,35.044829383,-85.157211758999949,"(35.044829383, -85.157211759)"
3200 Amnicola Hwy,Chattanooga,TN,37406,02/22/2018 01:41:00 PM,TN0330100,B1,35A,Drug/Narcotic Violations,Part 1 Crimes,18-015991,3,Pending/Possible Leads,35.079039251000061,-85.265612070999978,"(35.079039251, -85.265612071)"
4000 Hixson Pike,Chattanooga,TN,37415,02/22/2018 01:45:00 PM,TN0330100,A3,91Z,,,18-015994,3,Pending/Possible Leads,35.113335009000053,-85.258257517999979,"(35.113335009, -85.258257518)"
2100 Hamilton Place Blvd,Chattanooga,TN,37421,02/22/2018 02:20:00 PM,TN0330100,C7,23C,Shoplifting,Part 1 Crimes,18-016005,2,Cleared by Arrest,35.036399695,-85.161606063999969,"(35.036399695, -85.161606064)"
6000 Relocation Way,Chattanooga,TN,37363,02/22/2018 02:30:00 PM,TN0330100,C9,23C,Shoplifting,Part 1 Crimes,18-016006,2,Cleared by Arrest,35.085611385,-85.05985346,"(35.085611385, -85.05985346)"
2100 Hamilton Place Blvd,Chattanooga,TN,37421,02/22/2018 02:53:00 PM,TN0330100,C7,23D,Theft From Buildings,Part 1 Crimes,18-016023,3,Pending/Possible Leads,35.035093695,-85.160880063999969,"(35.035093695, -85.160880064)"
6900 Shallowford Rd,Chattanooga,TN,37421,02/22/2018 03:15:00 PM,TN0330100,C6,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,18-016253,3,Pending/Possible Leads,35.04400765,-85.160768181999984,"(35.04400765, -85.160768182)"
1400 Market St,Chattanooga,TN,37408,02/22/2018 03:17:00 PM,TN0330100,A9,90E,Drunkenness,Part 2 Crimes,18-016011,2,Cleared by Arrest,35.037242801,-85.30751570799994,"(35.037242801, -85.307515708)"
Baldwin St//E 10th St,Chattanooga,TN,37403,02/22/2018 03:22:00 PM,TN0330100,A9,91Z,,,18-016012,2,Cleared by Arrest,,,
100 Forest Ave,Chattanooga,TN,37405,02/22/2018 03:23:00 PM,TN0330100,A4,91Z,,,18-016015,3,Pending/Possible Leads,35.061719685,-85.306780107999984,"(35.061719685, -85.306780108)"
2200 Gunbarrel Rd,Chattanooga,TN,37421,02/22/2018 03:29:00 PM,TN0330100,C7,23D,Theft From Buildings,Part 1 Crimes,18-018229,3,Pending/Possible Leads,35.039005856,-85.150102144999977,"(35.039005856, -85.150102145)"
2300 Wilson St,Chattanooga,TN,37406,02/22/2018 03:30:00 PM,TN0330100,B3,90Z,All Other Offenses,Part 2 Crimes,18-016016,3,Pending/Possible Leads,35.051108918,-85.261437083999937,"(35.051108918, -85.261437084)"
3500 Cummings Hwy,Chattanooga,TN,37419,02/22/2018 03:47:00 PM,TN0330100,A13,23C,Shoplifting,Part 1 Crimes,18-016024,2,Cleared by Arrest,35.018692555000051,-85.375987338999977,"(35.018692555, -85.375987339)"
6500 Pine Manor Dr,Chattanooga,TN,37421,02/22/2018 04:00:00 PM,TN0330100,C6,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,18-016050,3,Pending/Possible Leads,35.046590423000076,-85.17468732199994,"(35.046590423, -85.174687322)"
400 N Hawthorne St,Chattanooga,TN,37404,02/22/2018 04:10:00 PM,TN0330100,B4,91Z,,,18-016031,3,Pending/Possible Leads,35.040581466000056,-85.273048411999966,"(35.040581466, -85.273048412)"
5400 Ansley Dr,Chattanooga,TN,37409,02/22/2018 04:38:00 PM,TN0330100,A12,13B,Simple Assault,Part 1 Crimes,18-016048,3,Pending/Possible Leads,34.98990563300007,-85.326150244999951,"(34.989905633, -85.326150245)"
1800 Gunbarrel Rd,Chattanooga,TN,37421,02/22/2018 04:48:00 PM,TN0330100,C8,91Z,,,18-016049,3,Pending/Possible Leads,35.024323751,-85.158526687999952,"(35.024323751, -85.158526688)"
4500 Rossville Blvd,Chattanooga,TN,37407,02/22/2018 04:55:00 PM,TN0330100,B9,91Z,,,18-016043,2,Cleared by Arrest,34.990193908,-85.290649230999975,"(34.990193908, -85.290649231)"
2700 Rossville Blvd,Chattanooga,TN,37404,02/22/2018 05:00:00 PM,TN0330100,B7,91Z,,,18-016053,3,Pending/Possible Leads,35.016038156,-85.293868052999969,"(35.016038156, -85.293868053)"
5200 Donlyn Ln,Chattanooga,TN,37343,02/22/2018 05:30:00 PM,TN0330100,A3,91Z,,,18-016092,3,Pending/Possible Leads,35.128644827000052,-85.260868862999985,"(35.128644827, -85.260868863)"
1000 Gray Oaks Dr,Chattanooga,TN,37421,02/22/2018 05:30:00 PM,TN0330100,C8,91Z,,,18-016056,3,Pending/Possible Leads,34.997443509000057,-85.148310718999937,"(34.997443509, -85.148310719)"
7500 Lee Hwy,Chattanooga,TN,37421,02/22/2018 05:55:00 PM,TN0330100,C9,91Z,,,18-016067,3,Pending/Possible Leads,35.057942795,-85.139845903999984,"(35.057942795, -85.139845904)"
2300 Wilson St,Chattanooga,TN,37406,02/22/2018 05:57:00 PM,TN0330100,B3,91Z,,,18-016066,3,Pending/Possible Leads,35.050065918,-85.262371083999938,"(35.050065918, -85.262371084)"
1700 Foust St,Chattanooga,TN,37407,02/22/2018 06:00:00 PM,TN0330100,B7,91Z,,,18-016089,3,Pending/Possible Leads,35.01607471800007,-85.289390480999941,"(35.016074718, -85.289390481)"
300 Carriage Parc Dr,Chattanooga,TN,37421,02/22/2018 06:00:00 PM,TN0330100,C8,90Z,All Other Offenses,Part 2 Crimes,18-016069,3,Pending/Possible Leads,35.012450516,-85.165530276999959,"(35.012450516, -85.165530277)"
1700 Colonial Way Cir,Chattanooga,TN,37343,02/22/2018 06:05:00 PM,TN0330100,A2,91Z,,,18-016060,3,Pending/Possible Leads,35.13352063100006,-85.200200865999932,"(35.133520631, -85.200200866)"
4100 Hixson Pike,Chattanooga,TN,37415,02/22/2018 06:06:00 PM,TN0330100,A3,90E,Drunkenness,Part 2 Crimes,18-016061,2,Cleared by Arrest,35.113507323000064,-85.256319828999978,"(35.113507323, -85.256319829)"
6200 Hansley Dr,Chattanooga,TN,37416,02/22/2018 06:16:00 PM,TN0330100,C5,91Z,,,18-016014,3,Pending/Possible Leads,35.081391920000073,-85.179677327999954,"(35.08139192, -85.179677328)"
100 E 20th St,Chattanooga,TN,37408,02/22/2018 06:30:00 PM,TN0330100,A10,91Z,,,18-016064,3,Pending/Possible Leads,35.030982375000065,-85.30758751,"(35.030982375, -85.30758751)"
2300 Shallowford Village Dr,Chattanooga,TN,37421,02/22/2018 07:00:00 PM,TN0330100,C9,13B,Simple Assault,Part 1 Crimes,18-016646,3,Pending/Possible Leads,35.044945428,-85.156405943999957,"(35.044945428, -85.156405944)"
2700 Roanoke Ave,Chattanooga,TN,37406,02/22/2018 07:05:00 PM,TN0330100,B2,91Z,,,18-016071,3,Pending/Possible Leads,35.068897959,-85.254603937999988,"(35.068897959, -85.254603938)"
8100 Iris Rd,Chattanooga,TN,37421,02/22/2018 07:10:00 PM,TN0330100,C8,91Z,,,18-016072,3,Pending/Possible Leads,34.996477244000069,-85.148199677999955,"(34.996477244, -85.148199678)"
100 Exit 181a Off Ramp Eb Hwy,Chattanooga,TN,37404,02/22/2018 07:24:00 PM,TN0330100,B6,280,"Stolen Property Offenses (Receiving, Etc.)",Part 1 Crimes,18-016084,3,Pending/Possible Leads,,,
2700 Amsterdam Ln,Chattanooga,TN,37421,02/22/2018 07:30:00 PM,TN0330100,C9,23F,Theft From Motor Vehicle,Part 1 Crimes,18-016257,3,Pending/Possible Leads,35.046650387,-85.131319268999945,"(35.046650387, -85.131319269)"
3100 E 44th St,Chattanooga,TN,37407,02/22/2018 07:45:00 PM,TN0330100,B9,91Z,,,18-016454,4,Inactive/Suspended,34.989562227000057,-85.283443482999971,"(34.989562227, -85.283443483)"
3700 Carl White Pl,Chattanooga,TN,37410,02/22/2018 07:48:00 PM,TN0330100,A12,370,Pornography/Obscene Material,Part 1 Crimes,18-016083,2,Cleared by Arrest,35.009361748,-85.320666413999945,"(35.009361748, -85.320666414)"
1200 Sholar Ave,Chattanooga,TN,37406,02/22/2018 08:00:00 PM,TN0330100,B3,13C,Intimidation,Part 1 Crimes,18-016479,3,Pending/Possible Leads,35.051276101000063,-85.270945114999961,"(35.051276101, -85.270945115)"
4600 Plaza Hills Ln,Chattanooga,TN,37343,02/22/2018 08:08:00 PM,TN0330100,A3,91Z,,,18-016086,3,Pending/Possible Leads,35.12767206,-85.266111010999992,"(35.12767206, -85.266111011)"
3200 7th Ave,Chattanooga,TN,37407,02/22/2018 08:14:00 PM,TN0330100,B8,91Z,,,18-016097,2,Cleared by Arrest,35.005526576000051,-85.282379865999971,"(35.005526576, -85.282379866)"
1100 E 3rd St,Chattanooga,TN,37403,02/22/2018 08:20:00 PM,TN0330100,A8,91Z,,,18-016094,3,Pending/Possible Leads,35.04563845,-85.287608652999978,"(35.04563845, -85.287608653)"
2200 Hamilton Place Blvd,Chattanooga,TN,37421,02/22/2018 08:21:00 PM,TN0330100,C7,91Z,,,18-016096,2,Cleared by Arrest,35.041285281000071,-85.155909045999962,"(35.041285281, -85.155909046)"
2500 Glass St,Chattanooga,TN,37406,02/22/2018 08:25:00 PM,TN0330100,B2,91Z,,,18-016093,3,Pending/Possible Leads,35.064877695000071,-85.249348663999982,"(35.064877695, -85.249348664)"
2100 Hamilton Place Blvd,Chattanooga,TN,37421,02/22/2018 08:50:00 PM,TN0330100,C7,13B,Simple Assault,Part 1 Crimes,18-017371,3,Pending/Possible Leads,35.036507695,-85.161123063999966,"(35.036507695, -85.161123064)"
6800 Hickory Ln,Chattanooga,TN,37421,02/22/2018 08:55:00 PM,TN0330100,C6,91Z,,,18-016106,3,Pending/Possible Leads,35.037764118,-85.168254961999963,"(35.037764118, -85.168254962)"
5000 Brainerd Rd,Chattanooga,TN,37411,02/22/2018 08:55:00 PM,TN0330100,C3,91Z,,,18-016101,3,Pending/Possible Leads,35.01267906,-85.225648972999963,"(35.01267906, -85.225648973)"
1000 W Elmwood Dr,Chattanooga,TN,37405,02/22/2018 09:00:00 PM,TN0330100,A5,91Z,,,18-016190,3,Pending/Possible Leads,35.074159842,-85.323867487999948,"(35.074159842, -85.323867488)"
2000 Windsor St,Chattanooga,TN,37406,02/22/2018 09:15:00 PM,TN0330100,B3,220,Burglary/Breaking And Entering,Part 1 Crimes,18-016376,3,Pending/Possible Leads,35.048333453000069,-85.266417612999959,"(35.048333453, -85.266417613)"
5200 Rotary Dr,Chattanooga,TN,37416,02/22/2018 09:22:00 PM,TN0330100,C5,91Z,,,18-016100,3,Pending/Possible Leads,35.103334809000067,-85.176607862999987,"(35.103334809, -85.176607863)"
2300 Mark Ln,Chattanooga,TN,37421,02/22/2018 10:00:00 PM,TN0330100,C6,23F,Theft From Motor Vehicle,Part 1 Crimes,18-016316,3,Pending/Possible Leads,35.049302669000078,-85.173351306999947,"(35.049302669, -85.173351307)"
1200 Browns Ferry Rd,Chattanooga,TN,37419,02/22/2018 10:00:00 PM,TN0330100,A13,240,Motor Vehicle Theft,Part 1 Crimes,18-016347,4,Inactive/Suspended,35.052439028000052,-85.349678725999979,"(35.052439028, -85.349678726)"
1900 Northpoint Blvd,Chattanooga,TN,37343,02/22/2018 10:00:00 PM,TN0330100,A1,91Z,,,18-016111,3,Pending/Possible Leads,35.138196493,-85.241354903999948,"(35.138196493, -85.241354904)"
